price;bedrooms;bathrooms;sqft_living;sqft_lot;floors;waterfront;view;condition;grade;sqft_above;sqft_basement;yr_built;yr_renovated;zipcode;sqft_living15;sqft_lot15
221900.0;3;1.0;1180;5650;1.0;0;0;3;7;1180;0;1955;0;98178;1340;5650
538000.0;3;2.25;2570;7242;2.0;0;0;3;7;2170;400;1951;1991;98125;1690;7639
180000.0;2;1.0;770;10000;1.0;0;0;3;6;770;0;1933;0;98028;2720;8062
604000.0;4;3.0;1960;5000;1.0;0;0;5;7;1050;910;1965;0;98136;1360;5000
510000.0;3;2.0;1680;8080;1.0;0;0;3;8;1680;0;1987;0;98074;1800;7503
1225000.0;4;4.5;5420;101930;1.0;0;0;3;11;3890;1530;2001;0;98053;4760;101930
257500.0;3;2.25;1715;6819;2.0;0;0;3;7;1715;0;1995;0;98003;2238;6819
291850.0;3;1.5;1060;9711;1.0;0;0;3;7;1060;0;1963;0;98198;1650;9711
229500.0;3;1.0;1780;7470;1.0;0;0;3;7;1050;730;1960;0;98146;1780;8113
323000.0;3;2.5;1890;6560;2.0;0;0;3;7;1890;0;2003;0;98038;2390;7570
662500.0;3;2.5;3560;9796;1.0;0;0;3;8;1860;1700;1965;0;98007;2210;8925
468000.0;2;1.0;1160;6000;1.0;0;0;4;7;860;300;1942;0;98115;1330;6000
310000.0;3;1.0;1430;19901;1.5;0;0;4;7;1430;0;1927;0;98028;1780;12697
400000.0;3;1.75;1370;9680;1.0;0;0;4;7;1370;0;1977;0;98074;1370;10208
530000.0;5;2.0;1810;4850;1.5;0;0;3;7;1810;0;1900;0;98107;1360;4850
650000.0;4;3.0;2950;5000;2.0;0;3;3;9;1980;970;1979;0;98126;2140;4000
395000.0;3;2.0;1890;14040;2.0;0;0;3;7;1890;0;1994;0;98019;1890;14018
485000.0;4;1.0;1600;4300;1.5;0;0;4;7;1600;0;1916;0;98103;1610;4300
189000.0;2;1.0;1200;9850;1.0;0;0;4;7;1200;0;1921;0;98002;1060;5095
230000.0;3;1.0;1250;9774;1.0;0;0;4;7;1250;0;1969;0;98003;1280;8850
385000.0;4;1.75;1620;4980;1.0;0;0;4;7;860;760;1947;0;98133;1400;4980
2000000.0;3;2.75;3050;44867;1.0;0;4;3;9;2330;720;1968;0;98040;4110;20336
285000.0;5;2.5;2270;6300;2.0;0;0;3;8;2270;0;1995;0;98092;2240;7005
252700.0;2;1.5;1070;9643;1.0;0;0;3;7;1070;0;1985;0;98030;1220;8386
329000.0;3;2.25;2450;6500;2.0;0;0;4;8;2450;0;1985;0;98030;2200;6865
233000.0;3;2.0;1710;4697;1.5;0;0;5;6;1710;0;1941;0;98002;1030;4705
937000.0;3;1.75;2450;2691;2.0;0;0;3;8;1750;700;1915;0;98119;1760;3573
667000.0;3;1.0;1400;1581;1.5;0;0;5;8;1400;0;1909;0;98112;1860;3861
438000.0;3;1.75;1520;6380;1.0;0;0;3;7;790;730;1948;0;98115;1520;6235
719000.0;4;2.5;2570;7173;2.0;0;0;3;8;2570;0;2005;0;98052;2630;6026
580500.0;3;2.5;2320;3980;2.0;0;0;3;8;2320;0;2003;0;98027;2580;3980
280000.0;2;1.5;1190;1265;3.0;0;0;3;7;1190;0;2005;0;98133;1390;1756
687500.0;4;1.75;2330;5000;1.5;0;0;4;7;1510;820;1929;0;98117;1460;5000
535000.0;3;1.0;1090;3000;1.5;0;0;4;8;1090;0;1929;0;98117;1570;5080
322500.0;4;2.75;2060;6659;1.0;0;0;3;7;1280;780;1981;0;98058;2020;8720
696000.0;3;2.5;2300;3060;1.5;0;0;3;8;1510;790;1930;2002;98115;1590;3264
550000.0;4;1.0;1660;34848;1.0;0;0;1;5;930;730;1933;0;98052;2160;11467
640000.0;4;2.0;2360;6000;2.0;0;0;4;8;2360;0;1904;0;98107;1730;4700
240000.0;4;1.0;1220;8075;1.0;0;0;2;7;890;330;1969;0;98001;1290;7800
605000.0;4;2.5;2620;7553;2.0;0;0;3;8;2620;0;1996;0;98056;2620;11884
625000.0;4;2.5;2570;5520;2.0;0;0;3;9;2570;0;2000;0;98074;2470;5669
775000.0;4;2.25;4220;24186;1.0;0;0;3;8;2600;1620;1984;0;98166;2410;30617
861990.0;5;2.75;3595;5639;2.0;0;0;3;9;3595;0;2014;0;98053;3625;5639
685000.0;3;1.0;1570;2280;2.0;0;0;3;7;1570;0;1922;0;98119;1580;2640
309000.0;3;1.0;1280;9656;1.0;0;0;4;6;920;360;1959;0;98058;1340;8808
488000.0;3;2.5;3160;13603;2.0;0;0;3;8;3160;0;2003;0;98019;3050;9232
210490.0;3;1.0;990;8528;1.0;0;0;3;6;990;0;1966;0;98023;1228;8840
785000.0;4;2.5;2290;13416;2.0;0;0;4;9;2290;0;1981;0;98007;2680;13685
450000.0;3;1.75;1250;5963;1.0;0;0;4;7;1250;0;1953;0;98115;970;5100
1350000.0;3;2.5;2753;65005;1.0;1;2;5;9;2165;588;1953;0;98070;2680;72513
228000.0;3;1.0;1190;9199;1.0;0;0;3;7;1190;0;1955;0;98148;1190;9364
345000.0;5;2.5;3150;9134;1.0;0;0;4;8;1640;1510;1966;0;98056;1990;9133
600000.0;3;1.75;1410;4080;1.0;0;0;4;7;1000;410;1950;0;98117;1410;4080
585000.0;2;1.75;1980;8550;1.0;0;0;3;7;990;990;1981;0;98117;1480;6738
920000.0;5;2.25;2730;6000;1.5;0;0;3;8;2130;600;1927;0;98105;2730;6000
885000.0;4;2.5;2830;5000;2.0;0;0;3;9;2830;0;1995;0;98105;1950;5000
292500.0;4;2.5;2250;4495;2.0;0;0;3;7;2250;0;2008;0;98042;2250;4500
